[Mon Aug 14 17:27:49 2023] ThreadID[9636]	Start Program.
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[EVENT]	LOADING GAME LEVEL [DATA ORIENTED]
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[MESSAGE]	Begin Reading Game Level Text File.
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Model Detected: Floor_Modular
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Location: X 0.000000 Y 0.000000 Z 0.000000
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Model Detected: Floor_Modular.001
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Location: X 2.000000 Y 0.000000 Z 0.000000
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Model Detected: Floor_Modular.002
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Location: X 2.000000 Y 0.000000 Z -2.000000
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Model Detected: Floor_Modular.003
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Location: X 0.000000 Y 0.000000 Z -2.000000
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Model Detected: Floor_Modular.004
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Location: X -2.000000 Y 0.000000 Z -2.000000
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Model Detected: Floor_Modular.005
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Location: X -2.000000 Y 0.000000 Z 0.000000
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Model Detected: Floor_Modular.006
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Location: X -2.000000 Y 0.000000 Z 2.000000
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Model Detected: Floor_Modular.007
[Mon Aug 14 17:27:49 2023] ThreadID[9636]	[INFO]	Location: X 0.000000 Y 0.000000 Z 2.000000
